week_ending_date,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,current_marketing_year_net_sales,current_marketing_year_net_sales,unit,commodity_name,country
2025-09-04,0,0,5556346,491498,95525,0,5556346,0,95525,0,metric_tons,unknown,european
2025-09-11,0,0,5464602,315397,-91744,0,5464602,0,-91744,0,metric_tons,unknown,european
2025-09-18,0,0,5755253,581996,290651,0,5755253,0,290651,0,metric_tons,unknown,european
2025-09-25,0,0,5614455,298564,-140798,0,5614455,0,-140798,0,metric_tons,unknown,european
2025-10-02,0,0,5662408,643718,47953,0,5662408,0,47953,0,metric_tons,unknown,european
2025-10-09,0,0,5772408,185000,110000,0,5772408,0,110000,0,metric_tons,unknown,european
2025-10-16,0,0,5558644,280000,-213764,0,5558644,0,-213764,0,metric_tons,unknown,european
2025-10-23,0,0,5910483,611132,351839,0,5910483,0,351839,0,metric_tons,unknown,european
2025-10-30,0,0,6101707,684396,191224,0,6101707,0,191224,0,metric_tons,unknown,european
2025-11-06,0,0,5998950,216243,-102757,0,5998950,0,-102757,0,metric_tons,unknown,european
2025-11-13,0,0,6192142,1077692,193192,0,6192142,0,193192,0,metric_tons,unknown,european
2025-11-20,0,0,6159034,378258,-33108,0,6159034,0,-33108,0,metric_tons,unknown,european
2025-11-27,0,0,6183970,545989,24936,0,6183970,0,24936,0,metric_tons,unknown,european
2025-12-04,0,0,5683985,92687,-499985,0,5683985,0,-499985,0,metric_tons,unknown,european
2025-12-11,0,0,5767267,615540,83282,0,5767267,0,83282,0,metric_tons,unknown,european
2025-12-18,0,0,5738451,578867,-28816,0,5738451,0,-28816,0,metric_tons,unknown,european
2025-10-02,0,0,0,0,0,0,0,0,0,0,metric_tons,unknown,european
2025-10-09,0,0,0,0,0,0,0,0,0,0,metric_tons,unknown,european
2025-10-16,0,0,15000,15000,15000,0,15000,0,15000,0,metric_tons,unknown,european
2025-10-23,0,0,11500,0,-3500,0,11500,0,-3500,0,metric_tons,unknown,european
2025-10-30,0,0,11500,0,0,0,11500,0,0,0,metric_tons,unknown,european
2025-11-06,0,0,11500,0,0,0,11500,0,0,0,metric_tons,unknown,european
